bstart,bend,receptor,protein,site,library,experiment,pdb,gpf,dpf,program,align,res,md,alt,cx,cy,cz,sx,sy,sz,flex,status
327,327,xSDGP-L_rig.pdbqt,GP,L,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,119.792,109.41,44.37,15,16,19,xSDGP-L_flx.pdbqt,W
328,328,xZAGP-FA_rig.pdbqt,GP,FA,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,120.392,114.116,44.424,15,22,20,xZAGP-FA_flx.pdbqt,W
329,329,xZAGP-L_rig.pdbqt,GP,L,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,119.792,109.41,44.37,15,16,19,xZAGP-L_flx.pdbqt,W
330,330,xEBGP-F_rig.pdbqt,GP,F,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,108.247,44.31,31,35,25,xEBGP-F_flx.pdbqt,W
331,331,xEBGP-OM_rig.pdbqt,GP,OM,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,xEBGP-OM_flx.pdbqt,W
332,332,xMBGP-F_rig.pdbqt,GP,F,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,108.247,44.31,31,35,25,xMBGP-F_flx.pdbqt,W
333,333,xMBGP-OM_rig.pdbqt,GP,OM,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,xMBGP-OM_flx.pdbqt,W
334,334,xSDGP-F_rig.pdbqt,GP,F,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,108.247,44.31,31,35,25,xSDGP-F_flx.pdbqt,W
335,335,xSDGP-OM_rig.pdbqt,GP,OM,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,xSDGP-OM_flx.pdbqt,W
336,336,xZAGP-F_rig.pdbqt,GP,F,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,108.247,44.31,31,35,25,xZAGP-F_flx.pdbqt,W
337,337,xZAGP-OM_rig.pdbqt,GP,OM,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,xZAGP-OM_flx.pdbqt,W
338,338,xEBGP-FW_rig.pdbqt,GP,FW,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,106.803,44.922,15,20,17,xEBGP-FW_flx.pdbqt,W
339,339,xEBGP-S_rig.pdbqt,GP,S,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116,113,43.5,30,35,25,xEBGP-S_flx.pdbqt,W
340,340,xMBGP-FW_rig.pdbqt,GP,FW,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,106.803,44.922,15,20,17,xMBGP-FW_flx.pdbqt,W
341,341,xMBGP-S_rig.pdbqt,GP,S,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116,113,43.5,30,35,25,xMBGP-S_flx.pdbqt,W
342,342,xSDGP-FW_rig.pdbqt,GP,FW,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,106.803,44.922,15,20,17,xSDGP-FW_flx.pdbqt,W
343,343,xSDGP-S_rig.pdbqt,GP,S,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116,113,43.5,30,35,25,xSDGP-S_flx.pdbqt,W
344,344,xZAGP-FW_rig.pdbqt,GP,FW,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116.808,106.803,44.922,15,20,17,xZAGP-FW_flx.pdbqt,W
345,345,xZAGP-S_rig.pdbqt,GP,S,DF,11,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,116,113,43.5,30,35,25,xZAGP-S_flx.pdbqt,W
346,346,xEBGP-FA_rig.pdbqt,GP,FA,MB,12,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,120.392,114.116,44.424,15,22,20,xEBGP-FA_flx.pdbqt,W
