bstart,bend,receptor,protein,site,library,experiment,pdb,gpf,dpf,program,align,res,md,alt,cx,cy,cz,sx,sy,sz,flex,status
906133,906148,x3TH9-A-AS.pdbqt,PR,AS,VM,165,3TH9,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906149,906164,x3TH9-B-AS.pdbqt,PR,AS,VM,165,3TH9,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906165,906180,x3TKG-A-AS.pdbqt,PR,AS,VM,165,3TKG,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906181,906196,x3TKG-B-AS.pdbqt,PR,AS,VM,165,3TKG,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906197,906212,x3TKW-A-AS.pdbqt,PR,AS,VM,165,3TKW,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906213,906228,x3TKW-B-AS.pdbqt,PR,AS,VM,165,3TKW,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906229,906244,x3TL9-A-AS.pdbqt,PR,AS,VM,165,3TL9,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906245,906260,x3TL9-B-AS.pdbqt,PR,AS,VM,165,3TL9,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906261,906276,x3TLH-A-AS.pdbqt,PR,AS,VM,165,3TLH,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906277,906292,x3TLH-B-AS.pdbqt,PR,AS,VM,165,3TLH,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906293,906308,x3TOF-A-AS.pdbqt,PR,AS,VM,165,3TOF,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906309,906324,x3TOF-B-AS.pdbqt,PR,AS,VM,165,3TOF,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906325,906340,x3TOG-A-AS.pdbqt,PR,AS,VM,165,3TOG,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906341,906356,x3TOG-B-AS.pdbqt,PR,AS,VM,165,3TOG,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906357,906372,x3TTP-A-AS.pdbqt,PR,AS,VM,165,3TTP,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906373,906388,x3TTP-B-AS.pdbqt,PR,AS,VM,165,3TTP,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906389,906404,x3U7S-A-AS.pdbqt,PR,AS,VM,165,3U7S,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906405,906420,x3U7S-B-AS.pdbqt,PR,AS,VM,165,3U7S,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906421,906436,x3UCB-A-AS.pdbqt,PR,AS,VM,165,3UCB,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906437,906452,x3UCB-B-AS.pdbqt,PR,AS,VM,165,3UCB,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906453,906468,x3UF3-A-AS.pdbqt,PR,AS,VM,165,3UF3,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906469,906484,x3UF3-B-AS.pdbqt,PR,AS,VM,165,3UF3,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906485,906500,x3UFN-A-AS.pdbqt,PR,AS,VM,165,3UFN,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906501,906516,x3UFN-B-AS.pdbqt,PR,AS,VM,165,3UFN,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906517,906532,x3UHL-A-AS.pdbqt,PR,AS,VM,165,3UHL,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906533,906548,x3UHL-B-AS.pdbqt,PR,AS,VM,165,3UHL,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906549,906564,x3VF5-A-AS.pdbqt,PR,AS,VM,165,3VF5,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906565,906580,x3VF5-B-AS.pdbqt,PR,AS,VM,165,3VF5,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906581,906596,x3VF7-A-AS.pdbqt,PR,AS,VM,165,3VF7,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906597,906612,x3VF7-B-AS.pdbqt,PR,AS,VM,165,3VF7,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906613,906628,x3VFA-A-AS.pdbqt,PR,AS,VM,165,3VFA,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906629,906644,x3VFA-B-AS.pdbqt,PR,AS,VM,165,3VFA,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906645,906660,x3VFB-A-AS.pdbqt,PR,AS,VM,165,3VFB,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906661,906676,x3VFB-B-AS.pdbqt,PR,AS,VM,165,3VFB,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906677,906692,x3ZPS-A-AS.pdbqt,PR,AS,VM,165,3ZPS,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906693,906708,x3ZPS-B-AS.pdbqt,PR,AS,VM,165,3ZPS,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906709,906724,x3ZPT-A-AS.pdbqt,PR,AS,VM,165,3ZPT,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906725,906740,x3ZPT-B-AS.pdbqt,PR,AS,VM,165,3ZPT,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906741,906756,x3ZPU-A-AS.pdbqt,PR,AS,VM,165,3ZPU,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906757,906772,x3ZPU-B-AS.pdbqt,PR,AS,VM,165,3ZPU,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906773,906788,x4A6B-AS.pdbqt,PR,AS,VM,165,4A6B,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906789,906804,x4A6C-AS.pdbqt,PR,AS,VM,165,4A6C,none,none,V,masterpr_ref.pdb,1,none,none,0,5.5,0,30,22,25,none,W
906805,906820,x4DFG-A-AS.pdbqt,PR,AS,VM,165,4DFG,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906821,906836,x4DFG-B-AS.pdbqt,PR,AS,VM,165,4DFG,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906837,906852,x4DQB-A-AS.pdbqt,PR,AS,VM,165,4DQB,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
906853,906868,x4DQB-B-AS.pdbqt,PR,AS,VM,165,4DQB,none,none,V,masterpr_ref.pdb,1,none,B,0,5.5,0,30,22,25,none,W
906869,906884,x4DQC-A-AS.pdbqt,PR,AS,VM,165,4DQC,none,none,V,masterpr_ref.pdb,1,none,A,0,5.5,0,30,22,25,none,W
